Wall time,Step,Value
1655869193.601494,3869,-1.0
1655869197.4173892,4443,3.0
1655869197.417977,6812,-2.0
1655869197.418098,7491,-1.0
1655869200.998336,8840,2.0
1655869200.998503,9432,-2.0
1655869200.9986181,10072,2.0
1655869200.9989572,12057,2.0
1655869204.381964,12701,0.0
1655869204.382105,13379,-2.0
1655869204.382559,16052,-5.0
1655869211.082436,21979,-2.0
1655869211.082537,22505,2.0
1655869211.082765,23799,0.0
1655869214.586027,26739,-1.0
1655869214.586417,27955,-3.0
1655869217.7752361,29333,1.0
1655869217.775384,29804,-5.0
1655869217.775614,31087,0.0
1655869217.7758489,32470,1.0
1655869220.8328938,33416,-1.0
1655869220.833235,35099,5.0
1655869220.833364,35855,1.0
1655869220.8334851,36567,1.0
1655869224.278334,37313,0.0
1655869224.278516,37745,3.0
1655869224.278917,40049,0.0
1655869224.279032,40727,-2.0
1655869227.744988,41763,-1.0
1655869227.745206,42831,-4.0
1655869227.745335,43557,-2.0
1655869227.745461,44269,0.0
1655869227.745586,44970,2.0
1655869231.440091,47111,1.0
1655869231.4402308,47912,1.0
1655869231.4403331,48455,-1.0
1655869235.041026,49204,-1.0
1655869235.041728,52069,0.0
1655869238.217479,55263,-4.0
1655869238.21768,56037,-2.0
1655869238.217885,56834,-2.0
1655869241.753421,57402,1.0
1655869241.75358,58088,2.0
1655869241.753717,58821,1.0
1655869244.892695,61620,-4.0
1655869248.397117,66725,1.0
1655869248.397689,68509,-5.0
1655869248.39779,69063,-4.0
1655869252.311504,73186,2.0
1655869255.6587148,75255,-1.0
1655869255.658976,76743,0.0
1655869255.659103,77488,-1.0
1655869259.103327,78010,-4.0
1655869259.103837,80574,0.0
1655869259.103938,81083,4.0
1655869259.104034,81570,4.0
1655869262.555818,83778,0.0
1655869262.555926,84331,3.0
1655869266.188569,88635,-1.0
1655869266.1888242,90093,1.0
1655869270.2433012,91367,0.0
1655869270.2434602,92115,0.0
1655869270.2435572,92510,-3.0
1655869270.243686,93041,-4.0
1655869274.261823,95609,0.0
1655869274.262084,96819,0.0
1655869315.8525598,99130,-1.0
1655869315.852756,99778,-1.0
1655869315.853,100712,1.0
1655869315.853287,102215,1.0
1655869320.741462,102694,-2.0
1655869320.741635,103451,0.0
1655869320.741981,105239,1.0
1655869325.8526971,106566,1.0
1655869325.852863,107289,1.0
1655869325.853154,108877,-2.0
1655869325.8532841,109586,0.0
1655869330.983358,111604,-1.0
1655869335.830179,114713,0.0
1655869335.8303611,115493,-1.0
1655869335.830488,116103,3.0
1655869335.830776,117585,-1.0
1655869340.81994,119131,3.0
1655869340.820213,120373,0.0
1655869340.8203468,121097,0.0
1655869340.8205929,122419,4.0
1655869345.861695,123615,-2.0
1655869345.861938,124255,-2.0
1655869350.829605,128349,-3.0
1655869355.3582132,133609,-2.0
1655869355.3583329,134220,-2.0
1655869355.358461,134895,-3.0
1655869360.041269,137486,0.0
1655869360.0416052,139154,-1.0
1655869364.789773,140978,0.0
1655869364.789906,141643,2.0
1655869370.0548532,143405,-3.0
1655869370.0551412,144038,0.0
1655869370.055517,145397,-1.0
1655869370.055635,145979,1.0
1655869370.0557811,146791,1.0
1655869375.29323,147998,0.0
1655869375.293652,150002,-3.0
1655869375.2937899,150741,-1.0
1655869375.293983,151494,1.0
1655869380.581745,153393,-1.0
1655869380.582224,155392,-1.0
1655869385.341793,158523,3.0
1655869385.342169,159603,-3.0
1655869390.19522,160833,1.0
1655869390.195323,161298,4.0
1655869395.274217,164508,3.0
1655869395.27488,166269,-1.0
1655869395.275094,166980,-2.0
1655869395.2753322,167723,-1.0
1655869400.343551,168264,-1.0
1655869400.343812,169234,-3.0
1655869400.344301,171472,-1.0
1655869405.278718,172712,-4.0
1655869405.278919,173612,-5.0
1655869405.279158,174839,2.0
1655869410.2148118,178087,0.0
1655869410.215039,179326,1.0
1655869415.044982,181986,-2.0
1655869420.008119,185034,1.0
1655869420.008419,186061,-2.0
1655869420.008543,186627,2.0
1655869424.945909,189852,-1.0
1655869424.946006,190320,4.0
1655869424.946115,190869,-1.0
1655869424.946375,192305,1.0
1655869429.623234,192851,1.0
1655869429.623403,193235,5.0
1655869429.624352,195745,0.0
1655869429.624589,196489,-1.0
1655869486.7163908,197810,2.0
1655869486.716765,199880,-1.0
1655869490.975033,202604,0.0
1655869490.975133,203148,-4.0
1655869490.975219,203590,3.0
1655869490.975323,204169,-1.0
1655869495.309984,205520,-4.0
1655869495.310287,207133,3.0
1655869495.310383,207657,4.0
1655869495.310474,208148,-2.0
1655869499.911453,209984,1.0
1655869499.911568,210615,2.0
1655869499.911753,211599,-4.0
1655869504.403947,215151,0.0
1655869504.404385,216513,-3.0
1655869509.540404,218588,0.0
1655869509.54055,219313,-1.0
1655869509.5408719,220981,1.0
1655869514.754739,221449,4.0
1655869514.7554638,224687,-1.0
1655869514.7555861,225238,1.0
1655869520.786525,226257,-2.0
1655869520.786846,227656,3.0
1655869520.7869902,228214,4.0
1655869520.787154,228960,2.0
1655869526.195904,231229,-2.0
1655869526.1960618,231963,-1.0
1655869531.255713,234286,-2.0
1655869531.255836,234876,2.0
1655869531.256085,236118,-1.0
1655869531.256205,236733,0.0
1655869535.8673642,238147,1.0
1655869535.867859,240438,1.0
1655869535.867993,241156,-1.0
1655869540.5080478,241753,-3.0
1655869540.50838,243146,0.0
1655869540.5084999,243794,-2.0
1655869545.4076438,246176,5.0
1655869545.4077818,246745,-1.0
1655869545.407888,247257,2.0
1655869545.4080908,248278,0.0
1655869545.4082189,248994,-1.0
1655869545.408319,249503,2.0
1655869550.252408,250023,-2.0
1655869554.998948,255403,-3.0
1655869554.999066,255956,-3.0
1655869559.981921,258986,-1.0
1655869564.624434,263117,4.0
1655869564.6245608,263823,2.0
1655869569.5659058,266502,0.0
1655869569.566093,267103,1.0
1655869569.5662239,267567,5.0
1655869569.566546,269295,1.0
1655869574.507136,270583,4.0
1655869574.5077062,273253,1.0
1655869583.96144,279446,1.0
1655869583.961549,279942,-2.0
1655869583.96168,280577,-2.0
1655869583.96182,281299,-2.0
1655869583.962074,282584,4.0
1655869588.6818619,283318,2.0
1655869588.682227,285071,-2.0
1655869593.45169,286730,-1.0
1655869598.770176,291324,-2.0
1655869598.770294,291890,1.0
1655869598.770433,292618,0.0
1655869598.7705579,293266,1.0
1655869598.770829,294720,1.0
1655869603.934528,295427,1.0
1655869603.9350731,297203,1.0
1655869603.935316,297898,0.0
1655869603.9355872,298459,-3.0
1655869668.683639,299901,0.0
1655869668.683885,301232,1.0
1655869668.683981,301722,4.0
1655869673.216821,304197,-1.0
1655869678.047422,308537,3.0
1655869678.047767,310320,1.0
1655869678.0478988,311046,1.0
1655869682.791146,312360,-3.0
1655869682.7913868,313564,-2.0
1655869688.063967,315459,2.0
1655869693.443198,323464,1.0
1655869698.774782,325539,1.0
1655869698.774934,326179,-3.0
1655869698.775094,326925,-1.0
1655869703.634592,328279,-2.0
1655869703.6348548,329511,-2.0
1655869703.634963,330078,1.0
1655869703.635224,331558,1.0
1655869708.412534,334863,-3.0
1655869708.412729,335532,0.0
1655869713.1060858,339683,-5.0
1655869717.790932,340818,-5.0
1655869717.7911339,341678,-1.0
1655869717.791293,342381,1.0
1655869717.7914371,343148,-1.0
1655869717.7915552,343757,-1.0
1655869722.551856,344278,-4.0
1655869722.551986,344728,3.0
1655869722.5521312,345460,0.0
1655869722.552289,346286,-1.0
1655869722.552393,346741,-4.0
1655869722.552638,347903,-1.0
1655869727.174578,349304,-5.0
1655869727.174695,349755,3.0
1655869727.1748302,350482,2.0
1655869727.175054,351662,0.0
1655869731.747342,354496,1.0
1655869731.747642,356221,1.0
1655869736.537305,357340,-2.0
1655869736.537895,360035,-1.0
1655869741.646513,360730,-1.0
1655869741.646671,361272,-1.0
1655869741.6470091,362877,-1.0
1655869741.6473138,364323,-1.0
1655869746.394635,366010,1.0
1655869746.39486,367087,2.0
1655869746.394958,367545,5.0
1655869750.970953,369483,1.0
1655869750.971186,370660,1.0
1655869750.971363,371425,-1.0
1655869750.971518,372198,1.0
1655869755.8989608,372744,1.0
1655869755.899114,373270,3.0
1655869755.899283,374068,1.0
1655869755.899526,375164,-3.0
1655869755.8997009,375588,3.0
1655869760.927042,378683,1.0
1655869760.927179,379331,2.0
1655869765.720025,381055,-1.0
1655869765.720192,381839,1.0
1655869765.720304,382403,-1.0
1655869765.720696,384609,0.0
1655869770.4708219,385852,-1.0
1655869770.471018,386799,-3.0
1655869770.471261,388126,-2.0
1655869775.227426,389565,-1.0
1655869775.2277482,391142,-1.0
1655869775.227881,391862,1.0
1655869775.2280052,392520,0.0
1655869780.143656,394281,-1.0
1655869780.144181,397107,1.0
1655869841.45111,397941,1.0
1655869841.451425,399505,-1.0
1655869846.307186,401991,1.0
1655869846.30777,404536,-3.0
1655869850.863681,407905,-3.0
1655869856.1401758,412503,1.0
1655869856.140332,413292,0.0
1655869861.804517,414347,-4.0
1655869861.804677,415110,-1.0
1655869861.804801,415676,3.0
1655869861.804943,416386,1.0
1655869861.805069,416887,4.0
1655869861.805378,417721,1.0
1655869866.8205252,419149,1.0
1655869866.820672,419937,1.0
1655869871.818532,422809,-4.0
1655869871.818648,423275,2.0
1655869871.819146,425741,1.0
1655869876.766287,427505,-1.0
1655869876.76654,428822,-1.0
1655869876.766658,429424,-3.0
1655869876.766763,429934,2.0
1655869881.9415228,432092,-1.0
1655869881.9416692,432841,1.0
1655869881.941777,433349,-4.0
1655869886.9357529,434277,0.0
1655869886.935909,434933,0.0
1655869886.9361541,436157,2.0
1655869886.936275,436785,0.0
1655869886.936393,437409,1.0
1655869891.318362,438732,-1.0
1655869891.318527,439449,-1.0
1655869891.31866,440119,0.0
1655869891.3188102,441000,1.0
1655869891.318917,441563,1.0
1655869891.3190458,442295,0.0
1655869895.5863569,444039,1.0
1655869895.586508,444908,-1.0
1655869899.884279,446632,-5.0
1655869899.884744,448964,0.0
1655869903.9853802,450930,-1.0
1655869903.985544,451703,0.0
1655869903.9857018,452527,-1.0
1655869903.985945,453838,0.0
1655869908.109099,455162,0.0
1655869908.10922,455622,2.0
1655869908.109449,456877,1.0
1655869908.109714,458454,1.0
1655869912.4176629,461083,-1.0
1655869917.219532,463759,0.0
1655869917.2197602,464425,1.0
1655869917.220169,465625,5.0
1655869917.220366,466187,-2.0
1655869917.220712,466864,-2.0
1655869921.673665,467613,-2.0
1655869921.673832,468341,0.0
1655869921.6739671,469033,0.0
1655869926.13937,471291,-1.0
1655869926.139543,472076,-1.0
1655869930.721324,475823,-1.0
1655869930.721555,476977,-1.0
1655869930.721688,477702,-1.0
1655869930.721802,478300,1.0
1655869930.721926,478971,0.0
1655869935.203947,479915,5.0
1655869935.2043688,482041,1.0
1655869935.204528,482901,1.0
1655869939.575472,484941,1.0
1655869939.575605,485679,-1.0
1655869939.5757089,486216,-2.0
1655869943.9309819,487787,1.0
1655869943.931242,489054,-4.0
1655869943.9315572,490697,-1.0
1655869943.931691,491490,1.0
1655869948.613513,493141,1.0
1655869948.613889,495041,-2.0
1655869953.069985,495937,-1.0
1655869953.070129,496510,-3.0
1655869953.070375,497785,-1.0
1655869953.070475,498281,4.0
1655869953.0705988,498953,4.0
1655870010.3277812,500851,-2.0
1655870010.3279612,501648,0.0
1655870010.328105,502388,1.0
1655870015.255987,505832,-2.0
1655870019.8748841,508635,-1.0
1655870019.8749912,509171,1.0
1655870019.875189,510174,3.0
1655870019.875565,511660,-3.0
1655870024.237222,512920,1.0
1655870024.237351,513612,0.0
1655870024.237472,514267,1.0
1655870024.2375932,514935,3.0
1655870024.237838,515689,1.0
1655870028.7903209,516412,-1.0
1655870028.790626,517935,2.0
1655870028.790829,519015,4.0
1655870028.791036,520157,-4.0
1655870033.27047,522258,-2.0
1655870033.270777,523936,-1.0
1655870038.3491478,524750,-1.0
1655870038.34932,525209,3.0
1655870038.349889,527992,3.0
1655870043.290773,529296,2.0
1655870043.290915,530023,0.0
1655870043.291167,531322,-4.0
1655870047.770446,533289,-3.0
1655870047.770946,535888,1.0
1655870052.061387,537836,-1.0
1655870052.061706,539637,2.0
1655870052.0618281,540368,0.0
1655870056.5361679,541733,2.0
1655870056.5364108,543127,2.0
1655870056.5368,544515,2.0
1655870060.890469,547977,-1.0
1655870065.2508538,549497,-4.0
1655870065.2509902,550218,-2.0
1655870065.251141,551069,-1.0
1655870065.2512589,551697,-3.0
1655870069.888803,553707,1.0
1655870074.311831,557776,-4.0
1655870074.312095,559127,2.0
1655870074.3122408,559917,1.0
1655870074.3123689,560590,0.0
1655870078.564938,561167,-1.0
1655870078.565065,561675,2.0
1655870078.5656471,564865,1.0
1655870082.858494,566361,0.0
1655870082.858607,566899,-1.0
1655870082.858977,568841,0.0
1655870087.111448,569583,1.0
1655870087.1115808,570140,3.0
1655870087.111713,570889,1.0
1655870087.111851,571709,1.0
1655870087.112088,573060,-2.0
1655870091.466122,573534,2.0
1655870091.466273,574192,-1.0
1655870091.466388,574782,-3.0
1655870091.466623,576064,-1.0
1655870095.731518,578034,4.0
1655870095.7318342,579348,-1.0
1655870095.731937,579812,3.0
1655870095.732192,580895,3.0
1655870100.603652,581850,1.0
1655870100.604088,583753,1.0
1655870100.604457,585524,1.0
1655870104.972193,586072,4.0
1655870109.458493,590284,1.0
1655870109.4586549,590753,2.0
1655870109.4587588,591290,3.0
1655870109.458883,592001,2.0
1655870109.459031,592898,1.0
1655870109.4591901,593756,1.0
1655870113.8083441,594522,0.0
1655870113.8086941,595909,2.0
1655870113.808795,596302,5.0
1655870113.8088949,596850,-2.0
1655870173.901031,598718,0.0
1655870173.901236,599513,-1.0
1655870173.901437,600716,-4.0
1655870173.901584,601439,-2.0
1655870178.223022,602932,0.0
1655870182.741878,607169,0.0
1655870182.7419982,607739,3.0
1655870182.7423701,609723,3.0
1655870191.832318,614756,1.0
1655870191.832757,616850,3.0
1655870196.141706,619535,2.0
1655870196.1420438,621440,-1.0
1655870196.142153,622078,-3.0
1655870200.339283,622870,-2.0
1655870200.339537,624126,-3.0
1655870200.339651,624783,0.0
1655870200.339803,625733,1.0
1655870204.6785002,627957,4.0
1655870204.678605,628545,3.0
1655870204.678875,630220,-1.0
1655870208.958793,631474,-3.0
1655870208.958921,632175,0.0
1655870208.959135,633351,1.0
1655870208.959338,634452,3.0
1655870213.1647098,635391,1.0
1655870213.164972,636723,-1.0
1655870213.1652281,638269,1.0
1655870217.647904,639030,1.0
1655870217.6480799,639935,-1.0
1655870217.648208,640678,1.0
1655870217.648545,642618,-4.0
1655870221.952366,643259,1.0
1655870221.952487,643734,-3.0
1655870221.9527721,645181,4.0
1655870221.9528809,645791,-2.0
1655870226.264452,650908,-2.0
1655870230.992678,652967,2.0
1655870230.9928908,653727,2.0
1655870230.993132,654963,-2.0
1655870235.264887,656309,2.0
1655870235.264987,656793,-2.0
1655870235.265446,658758,0.0
1655870235.265541,659246,2.0
1655870239.542655,660636,0.0
1655870239.5428228,661586,1.0
1655870239.542938,662185,3.0
1655870239.543068,662912,1.0
1655870243.882447,665298,1.0
1655870248.700564,670379,-4.0
1655870248.700665,670820,2.0
1655870248.7008362,671723,1.0
1655870253.296395,673033,0.0
1655870253.296702,674493,-3.0
1655870253.296889,675494,-1.0
1655870257.929297,676249,-1.0
1655870257.929579,677573,-1.0
1655870257.92992,679249,1.0
1655870262.258531,679978,-1.0
1655870262.258707,680854,-1.0
1655870262.2590442,682694,-3.0
1655870262.2591512,683292,-4.0
1655870262.259275,684015,-3.0
1655870266.531549,687159,0.0
1655870270.832025,688694,-3.0
1655870270.832196,689154,2.0
1655870270.832604,691197,2.0
1655870275.1015491,692882,-1.0
1655870331.7296371,696869,-3.0
1655870331.729782,697488,1.0
1655870331.7300532,699007,2.0
